model,test_subject,temperature,ece_before,brier_before,ece_after,brier_after,recommended_tau
mlp,s1,4.8828,0.2929,1.1329,0.0559,0.9546,N/A
latent,s1,3.7005,0.1602,1.0050,0.0147,0.9408,N/A
